Disc:2001/02/29 03:30:46, Last:2000/02/29 03:31:09, Count:00009, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880171                                                                                                                                          
Disc:2002/02/29 03:30:47, Last:2000/02/29 03:31:09, Count:00008, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880172                                                                                                                                          
Disc:2003/02/29 03:30:49, Last:2000/02/29 03:31:09, Count:00005, Ant:01, Type:04, Tag:3005FB63AC1F3841EC880273                                                                                                                                          
Disc:2004/02/29 03:30:46, Last:2000/02/29 03:31:12, Count:00007, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880274                                                                                                                                          
Disc:2005/02/29 03:30:47, Last:2000/02/29 03:31:12, Count:00004, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880275                                                                                                                                          
Disc:2006/02/29 03:30:49, Last:2000/02/29 03:31:12, Count:00001, Ant:01, Type:04, Tag:3005FB63AC1F3841EC880176                                                                                                                                          
Disc:2007/02/29 03:30:46, Last:2000/02/29 03:31:15, Count:00013, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880177                                                                                                                                          
Disc:2008/02/29 03:30:47, Last:2000/02/29 03:31:15, Count:00006, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880278                                                                                                                                          
Disc:2009/02/29 03:30:49, Last:2000/02/29 03:31:14, Count:00002, Ant:01, Type:04, Tag:3005FB63AC1F3841EC880279                                                                                                                                          
Disc:2010/02/29 03:30:46, Last:2000/02/29 03:31:18, Count:00012, Ant:02, Type:04, Tag:3005FB63AC1F3841EC880180                                                                                                                                          
Disc:2010/02/29 03:30:46, Last:2000/02/29 03:31:18, Count:00012, Ant:01, Type:04, Tag:3005FB63AC1F3841EC880380                                                                                                                                          
Disc:2010/02/29 03:30:46, Last:2000/02/29 03:31:18, Count:00012, Ant:01, Type:04, Tag:3005FB63AC1F3841EC880381                
